Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes
1994,1,The One with the Sonogram at the End,22,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,James Burrows,8.1,4888
1994,1,The One with the Thumb,22,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,James Burrows,8.2,4605
1994,1,The One with George Stephanopoulos,22,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",James Burrows,8.1,4468
1994,1,The One with the East German Laundry Detergent,22,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",Pamela Fryman,8.5,4438
1994,1,The One with the Butt,22,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,Arlene Sanford,8.1,4274
1994,1,The One with the Blackout,22,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",James Burrows,9,5469
1994,1,The One Where Nana Dies Twice,22,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,James Burrows,8.1,4156
1994,1,The One Where Underdog Gets Away,22,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,James Burrows,8.2,4038
1994,1,The One with the Monkey,22,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,Peter Bonerz,8.1,4064
1995,1,The One with Mrs. Bing,22,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",James Burrows,8.2,3996
1995,1,The One with the Dozen Lasagnas,22,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,Paul Lazarus,8.2,3926
1995,1,The One with the Boobies,22,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,Alan Myerson,8.7,4172
1995,1,The One with the Candy Hearts,22,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",James Burrows,8.3,3866
1995,1,The One with the Stoned Guy,22,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",Alan Myerson,8.2,3915
1995,1,The One with Two Parts: Part 1,22,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,Michael Lembeck,8.2,3834
1995,1,The One with Two Parts: Part 2,22,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",Michael Lembeck,8.5,3883
1995,1,The One with All the Poker,22,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",James Burrows,8.8,4340
1995,1,The One Where the Monkey Gets Away,22,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,Peter Bonerz,8.1,3734
1995,1,The One with the Evil Orthodontist,22,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",Peter Bonerz,7.9,3736
1995,1,The One with the Fake Monica,22,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,Gail Mancuso,7.9,3769
1995,1,The One with the Ick Factor,22,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,Robby Benson,8.3,3720
1995,1,The One with the Birth,22,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",James Burrows,8.7,3919
